competitionId,goalsHomeTeam,placeId,awayTeamId,goalsAwayTeam,status,homeTeamId,date
374,2,NULL,823,0,FINISHED,764,1958-06-14T23:00:00Z
374,2,NULL,816,2,FINISHED,770,1958-06-14T23:00:00Z
374,0,NULL,833,0,FINISHED,792,1958-06-14T23:00:00Z
374,3,NULL,812,3,FINISHED,761,1958-06-14T23:00:00Z
374,2,NULL,814,1,FINISHED,773,1958-06-14T23:00:00Z
374,2,NULL,829,2,FINISHED,821,1958-06-14T23:00:00Z
374,6,NULL,762,1,FINISHED,822,1958-06-14T23:00:00Z
374,1,NULL,770,0,FINISHED,823,1958-06-16T23:00:00Z
374,2,NULL,827,1,FINISHED,833,1958-06-16T23:00:00Z
374,1,NULL,822,1,FINISHED,829,1958-06-16T23:00:00Z
374,1,NULL,833,0,FINISHED,764,1958-06-18T23:00:00Z
374,4,NULL,829,0,FINISHED,773,1958-06-18T23:00:00Z
374,2,NULL,823,0,FINISHED,792,1958-06-18T23:00:00Z
374,1,NULL,812,0,FINISHED,821,1958-06-18T23:00:00Z
374,3,NULL,821,1,FINISHED,792,1958-06-23T23:00:00Z
374,5,NULL,773,2,FINISHED,764,1958-06-23T23:00:00Z
374,6,NULL,821,3,FINISHED,773,1958-06-27T23:00:00Z
374,5,NULL,792,2,FINISHED,764,1958-06-28T23:00:00Z
380,1,NULL,817,0,FINISHED,762,1962-05-29T23:00:00Z
380,2,NULL,818,1,FINISHED,758,1962-05-29T23:00:00Z
380,2,NULL,769,0,FINISHED,764,1962-05-29T23:00:00Z
380,3,NULL,788,1,FINISHED,767,1962-05-29T23:00:00Z
380,2,NULL,770,1,FINISHED,827,1962-05-30T23:00:00Z
380,1,NULL,760,0,FINISHED,822,1962-05-30T23:00:00Z
380,0,NULL,784,0,FINISHED,821,1962-05-30T23:00:00Z
380,2,NULL,812,0,FINISHED,823,1962-05-30T23:00:00Z
380,2,NULL,784,0,FINISHED,767,1962-06-01T23:00:00Z
380,0,NULL,822,0,FINISHED,764,1962-06-01T23:00:00Z
380,3,NULL,762,1,FINISHED,770,1962-06-01T23:00:00Z
380,3,NULL,758,1,FINISHED,812,1962-06-01T23:00:00Z
380,1,NULL,769,0,FINISHED,760,1962-06-02T23:00:00Z
380,6,NULL,817,1,FINISHED,827,1962-06-02T23:00:00Z
380,2,NULL,788,1,FINISHED,821,1962-06-02T23:00:00Z
380,4,NULL,818,4,FINISHED,823,1962-06-02T23:00:00Z
380,2,NULL,767,0,FINISHED,821,1962-06-05T23:00:00Z
380,2,NULL,758,1,FINISHED,823,1962-06-05T23:00:00Z
380,0,NULL,762,0,FINISHED,827,1962-06-05T23:00:00Z
380,2,NULL,760,1,FINISHED,764,1962-06-05T23:00:00Z
380,0,NULL,817,0,FINISHED,770,1962-06-06T23:00:00Z
380,3,NULL,822,1,FINISHED,769,1962-06-06T23:00:00Z
380,5,NULL,818,0,FINISHED,812,1962-06-06T23:00:00Z
380,3,NULL,788,0,FINISHED,784,1962-06-06T23:00:00Z
380,3,NULL,770,1,FINISHED,764,1962-06-09T23:00:00Z
380,2,NULL,823,1,FINISHED,767,1962-06-09T23:00:00Z
380,1,NULL,827,0,FINISHED,822,1962-06-09T23:00:00Z
380,1,NULL,821,0,FINISHED,812,1962-06-09T23:00:00Z
380,3,NULL,812,1,FINISHED,822,1962-06-12T23:00:00Z
380,4,NULL,767,2,FINISHED,764,1962-06-12T23:00:00Z
380,1,NULL,812,0,FINISHED,767,1962-06-15T23:00:00Z
380,3,NULL,822,1,FINISHED,764,1962-06-16T23:00:00Z
