odds,date,homeTeamId,matchday,awayTeamId,competitionId,result,id,homeTeamName,awayTeamName,status,goalsHomeTeam,goalsAwayTeam,AccomGoalsHomeTeam,AccomGoalsAwayTeam,AccomTotalGoals,gdX,gdY,rankX,rankY
,2018-06-27T18:00:00Z,780,3,764,467,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 2}",165116,Serbia,Brazil,FINISHED,0,2,2,5,199,0,1,3,1
,2018-06-27T18:00:00Z,788,3,793,467,"{'goalsHomeTeam': 2, 'goalsAwayTeam': 2}",165108,Switzerland,Costa Rica,FINISHED,2,2,5,2,206,0,1,2,4
,2018-06-28T14:00:00Z,766,3,794,467,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",165104,Japan,Poland,FINISHED,0,1,4,2,212,2,1,2,4
,2018-06-28T14:00:00Z,804,3,818,467,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",165103,Senegal,Colombia,FINISHED,0,1,4,5,221,2,1,3,1
,2018-06-28T18:00:00Z,1836,3,802,467,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 2, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}}",165110,Panama,Tunisia,FINISHED,1,2,2,5,228,3,1,4,3
,2018-06-28T18:00:00Z,770,3,805,467,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 1, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}}",165105,England,Belgium,FINISHED,0,1,8,9,245,3,1,2,1
,2018-06-30T14:00:00Z,773,4,762,467,"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",165119,France,Argentina,TIMED,,,3,3,251,2,0,1,2
,2018-06-30T18:00:00Z,758,4,765,467,"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",165123,Uruguay,Portugal,TIMED,,,5,5,261,0,0,1,2
,2018-07-01T14:00:00Z,760,4,808,467,"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",165122,Spain,Russia,TIMED,,,6,8,275,1,0,1,2
,2018-07-01T18:00:00Z,799,4,782,467,"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",165121,Croatia,Denmark,TIMED,,,7,2,284,3,0,1,2
,2018-07-02T14:00:00Z,764,4,769,467,"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",165118,Brazil,Mexico,TIMED,,,5,3,292,0,1,1,2
,2018-07-02T18:00:00Z,805,4,766,467,"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",165120,Belgium,Japan,TIMED,,,9,4,305,3,1,1,2
,2018-07-03T14:00:00Z,792,4,788,467,"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",165117,Sweden,Switzerland,TIMED,,,5,5,315,1,1,1,2
,2018-07-03T18:00:00Z,818,4,770,467,"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",165124,Colombia,England,TIMED,,,5,8,328,2,1,1,2
