competitionId,date,status,homeTeamId,awayTeamId,goalsHomeTeam,goalsAwayTeam
380,1962-06-05T23:00:00Z,FINISHED,823,758,2,1
380,1962-06-05T23:00:00Z,FINISHED,827,762,0,0
380,1962-06-05T23:00:00Z,FINISHED,764,760,2,1
380,1962-06-06T23:00:00Z,FINISHED,770,817,0,0
380,1962-06-06T23:00:00Z,FINISHED,769,822,3,1
380,1962-06-06T23:00:00Z,FINISHED,812,818,5,0
380,1962-06-06T23:00:00Z,FINISHED,784,788,3,0
380,1962-06-09T23:00:00Z,FINISHED,764,770,3,1
380,1962-06-09T23:00:00Z,FINISHED,767,823,2,1
380,1962-06-09T23:00:00Z,FINISHED,822,827,1,0
380,1962-06-09T23:00:00Z,FINISHED,812,821,1,0
380,1962-06-12T23:00:00Z,FINISHED,822,812,3,1
380,1962-06-12T23:00:00Z,FINISHED,764,767,4,2
380,1962-06-15T23:00:00Z,FINISHED,767,812,1,0
380,1962-06-16T23:00:00Z,FINISHED,764,822,3,1
407,1966-07-10T23:00:00Z,FINISHED,770,758,0,0
407,1966-07-11T23:00:00Z,FINISHED,823,785,3,0
407,1966-07-11T23:00:00Z,FINISHED,764,817,2,0
407,1966-07-11T23:00:00Z,FINISHED,821,788,5,0
407,1966-07-12T23:00:00Z,FINISHED,784,767,2,0
407,1966-07-12T23:00:00Z,FINISHED,765,827,3,1
407,1966-07-12T23:00:00Z,FINISHED,762,760,2,1
407,1966-07-12T23:00:00Z,FINISHED,773,769,1,1
407,1966-07-14T23:00:00Z,FINISHED,760,788,2,1
407,1966-07-14T23:00:00Z,FINISHED,827,764,3,1
407,1966-07-14T23:00:00Z,FINISHED,785,767,1,1
407,1966-07-14T23:00:00Z,FINISHED,758,773,2,1
407,1966-07-15T23:00:00Z,FINISHED,765,817,3,0
407,1966-07-15T23:00:00Z,FINISHED,823,784,1,0
407,1966-07-15T23:00:00Z,FINISHED,821,762,0,0
407,1966-07-15T23:00:00Z,FINISHED,770,769,2,0
407,1966-07-18T23:00:00Z,FINISHED,762,788,2,0
407,1966-07-18T23:00:00Z,FINISHED,758,769,0,0
407,1966-07-18T23:00:00Z,FINISHED,785,784,1,0
407,1966-07-18T23:00:00Z,FINISHED,765,764,3,1
407,1966-07-19T23:00:00Z,FINISHED,823,767,2,1
407,1966-07-19T23:00:00Z,FINISHED,827,817,3,1
407,1966-07-19T23:00:00Z,FINISHED,770,773,2,0
407,1966-07-19T23:00:00Z,FINISHED,821,760,2,1
407,1966-07-22T23:00:00Z,FINISHED,770,762,1,0
407,1966-07-22T23:00:00Z,FINISHED,765,785,5,3
407,1966-07-22T23:00:00Z,FINISHED,823,827,2,1
407,1966-07-22T23:00:00Z,FINISHED,821,758,4,0
407,1966-07-24T23:00:00Z,FINISHED,821,823,2,1
407,1966-07-25T23:00:00Z,FINISHED,770,765,2,1
407,1966-07-27T23:00:00Z,FINISHED,765,823,2,1
